"cityabbr","province","distance_to_harbor","nearest_port","lndis_to_harbor","distance_to_bharbor","nearest_bport","lndis_to_bharbor"
"合肥","安徽省","332.525610501612","连云港市",12.714475167459485,408465.500226266,"上海市",12.920165183129408
"安庆","安徽省","468.293913963797","上海市",13.056853534475879,468293.9139637971,"上海市",13.056853534475879
"宣城","安徽省","254.148209822876","上海市",12.445676813772735,254148.2098228755,"上海市",12.445676813772735
"宿州","安徽省","191.824028721563","连云港市",12.1643389267738,392809.6779871304,"青岛市",12.881083039377916
"巢湖","安徽省","350.17714299748","上海市",12.766197283972014,350177.1429974797,"上海市",12.766197283972014
"池州","安徽省","400.926078971964","宁波市",12.901534841802148,400926.07897196384,"宁波市",12.901534841802148
"淮北","安徽省","238.194458500013","连云港市",12.380846869810636,434128.28901891905,"青岛市",12.981097669684111
"淮南","安徽省","297.179123531478","连云港市",12.602093710489228,477922.1591279697,"上海市",13.077205243588722
"滁州","安徽省","240.969262511384","连云港市",12.392428812790417,350652.88322863774,"上海市",12.76755492827601
"芜湖","安徽省","298.063069268871","上海市",12.605063739925427,298063.06926887063,"上海市",12.605063739925427
"蚌埠","安徽省","229.706678596046","连云港市",12.344562816921446,443059.88461495325,"上海市",13.001462476637737
"铜陵","安徽省","340.210673400941","上海市",12.737323271703065,340210.67340094066,"上海市",12.737323271703065
"阜阳","安徽省","364.641296776711","连云港市",12.806672143211077,565441.2786887129,"青岛市",13.245363498044357
"马鞍山","安徽省","272.298222547912","上海市",12.51465682352708,272298.2225479116,"上海市",12.51465682352708
"黄山","安徽省","328.709833938401","宁波市",12.70293371906777,328709.83393840067,"宁波市",12.70293371906777
"东营","山东省","188.35711020869","青岛市",12.146100271437605,188357.11020869046,"青岛市",12.146100271437605
"临沂","山东省","83.2374344356685","日照市",11.329464472493946,210851.19369343712,"青岛市",12.258912663168188
"威海","山东省","105.135384351","烟台市",11.563013684881613,179482.16830913682,"青岛市",12.097836712648268
"德州","山东省","237.266812219235","天津市",12.376944791501115,237266.8122192345,"天津市",12.376944791501115
"日照","山东省","0","日照市",0,132782.52301472472,"青岛市",11.796475434642392
"枣庄","山东省","175.38760868169","连云港市",12.074759412008992,300697.97284555924,"青岛市",12.613864953093032
"泰安","山东省","194.916513350196","日照市",12.180331739592036,283423.5667418508,"青岛市",12.554701288232787
"济南","山东省","224.042904762545","日照市",12.31959731503524,275013.29014200374,"青岛市",12.52457833945136
"济宁","山东省","223.825648814685","日照市",12.318627142010172,334539.54645260907,"青岛市",12.720513366309422
"淄博","山东省","150.807937981076","日照市",11.923769003231106,191271.1337135686,"青岛市",12.161452476828023
"滨州","山东省","198.158139287702","天津市",12.196825720631917,198158.13928770213,"天津市",12.196825720631917
"潍坊","山东省","96.0068437912663","青岛市",11.472185173271232,96006.84379126634,"青岛市",11.472185173271232
"烟台","山东省","0","烟台市",0,105258.99772399242,"青岛市",11.564188737285049
"聊城","山东省","308.180153748164","日照市",12.63844305057653,341557.9412233866,"天津市",12.741275538190607
"莱芜","山东省","154.622889984612","日照市",11.948750930911462,223931.5259588857,"青岛市",12.319100062062464
"菏泽","山东省","315.96614054464","日照市",12.663393501543943,426964.67533582466,"青岛市",12.964458903349277
"青岛","山东省","0","青岛市",0,0,"青岛市",0
"临汾","山西省","625.106870579622","天津市",13.345679506753488,625106.8705796219,"天津市",13.345679506753488
"吕梁","山西省","558.420077107913","天津市",13.232868575255049,558420.0771079133,"天津市",13.232868575255049
"大同","山西省","316.490005769291","天津市",12.665050102372025,316490.0057692906,"天津市",12.665050102372025
"太原","山西省","460.912294973465","天津市",13.0409652239716,460912.2949734648,"天津市",13.0409652239716
"忻州","山西省","427.451185190041","天津市",12.965597713594878,427451.1851900413,"天津市",12.965597713594878
"晋中","山西省","440.309581194684","天津市",12.995235623239514,440309.58119468373,"天津市",12.995235623239514
"晋城","山西省","579.403921538042","天津市",13.26975685847883,579403.9215380419,"天津市",13.26975685847883
"朔州","山西省","403.878841321023","天津市",12.908872690231737,403878.8413210235,"天津市",12.908872690231737
"运城","山西省","717.203057081905","天津市",13.483115677531895,717203.057081905,"天津市",13.483115677531895
"长治","山西省","499.26819914345","天津市",13.120900706509508,499268.1991434505,"天津市",13.120900706509508
"阳泉","山西省","360.170085604989","天津市",12.794334435334216,360170.0856049893,"天津市",12.794334435334216
